"query","category"
"How do I download all my account data?","Data Export"
"Can you send me an export of my chat history?","Data Export"
"Want to back up all my data before deleting account.","Data Export"
"How do I export my chat logs but not the attachments?","Data Export"
"I need all my order history in CSV format.","Data Export"
"Do you offer automated weekly exports?","Data Export"
"I think my account was hacked—saw activity I didn't do.","Security Concern"
"Got an email about login from another country, was that you?","Security Concern"
"My account email changed without me doing it.","Security Concern"
"Saw a login from a device I don't own—should I be worried?","Security Concern"
"I keep getting password reset emails I didn't request.","Security Concern"
"My account picture was changed without me doing it.","Security Concern"
"What's your cancellation policy?","Terms of Service Question"
"If I cancel mid-month, do I get money back?","Terms of Service Question"
"Do you allow account sharing?","Terms of Service Question"
"Is there a minimum commitment period for the subscription?","Terms of Service Question"
"Can I transfer my account to someone else?","Terms of Service Question"
"What happens if I break a rule in the TOS?","Terms of Service Question"
"Do you sell personal data to advertisers?","Privacy Policy Question"
"What info do you collect when I log in?","Privacy Policy Question"
"How do I delete all my stored data?","Privacy Policy Question"
"Do you store my payment details?","Privacy Policy Question"
"Are chat messages encrypted end-to-end?","Privacy Policy Question"
"If I delete my account, is my data completely gone?","Privacy Policy Question"
"Are you GDPR compliant?","Compliance Inquiry"
"Do you follow CCPA rules for California residents?","Compliance Inquiry"
"Need info on HIPAA compliance for business use.","Compliance Inquiry"
"Does your service work for EU customers under GDPR rules?","Compliance Inquiry"
"Do you process data in the US only or overseas too?","Compliance Inquiry"
"Is your system ISO certified?","Compliance Inquiry"
"Do you support screen readers?","Accessibility Support"
"Your font is too small—can I increase it?","Accessibility Support"
"The color contrast makes it hard to read, any options?","Accessibility Support"
"Can I adjust keyboard shortcuts?","Accessibility Support"
"Is there a high-contrast mode for reports?","Accessibility Support"
"Can you add captions to your tutorial videos?","Accessibility Support"
"Is the app available in Spanish?","Language Support"
"Can I switch the interface to French?","Language Support"
"Will you add Japanese support soon?","Language Support"
"Do you have Brazilian Portuguese available?","Language Support"
"Any chance of adding Mandarin soon?","Language Support"
"Can I set different languages for different users?","Language Support"
"Android app keeps freezing on login screen.","Mobile App Issue"
"My iPhone app crashes every time I upload a file.","Mobile App Issue"
"The mobile app won't update past version 2.3.","Mobile App Issue"
"App won't load past the splash screen.","Mobile App Issue"
"Notifications on my Android only work when I open the app.","Mobile App Issue"
"Downloaded the app again but it says my device isn't supported.","Mobile App Issue"
"The Windows version won't install.","Desktop App Issue"
"Mac app says 'damaged file' when I open it.","Desktop App Issue"
"Keeps asking for admin password every time I start it.","Desktop App Issue"
"After installing, the app opens then closes immediately.","Desktop App Issue"
"Can't drag and drop files into the desktop version.","Desktop App Issue"
"Keeps asking me to reinstall every time I log in.","Desktop App Issue"
"I'm not receiving password reset emails.","Email Notifications"
"All your emails are going to spam.","Email Notifications"
"Can you turn off order confirmation emails?","Email Notifications"
"Haven't received any emails from you since last month.","Email Notifications"
"Email confirmations work for orders but not for password resets.","Email Notifications"
"The unsubscribe button in your email doesn't work.","Email Notifications"
"How do I unsubscribe from promos?","Marketing Preferences"
"I still get marketing emails even after opting out.","Marketing Preferences"
"Can I only get important notifications?","Marketing Preferences"
"I want only updates about product changes, no promos.","Marketing Preferences"
"Stopped getting marketing emails but still get push notifications.","Marketing Preferences"
"Is there a way to pause marketing emails for a month?","Marketing Preferences"
"How do I join the beta program?","Beta Program Enrollment"
"Want early access to new features, what's the process?","Beta Program Enrollment"
"Is beta available in my country?","Beta Program Enrollment"
"How do I know if I'm accepted into the beta?","Beta Program Enrollment"
"Joined beta but my account looks the same.","Beta Program Enrollment"
"Will beta affect my current settings?","Beta Program Enrollment"
"Just wanted to say the service is great!","General Feedback"
"Love your new design—it's much easier to use.","General Feedback"
"The last update was confusing, please make a guide.","General Feedback"
"Your support team is fast but the responses feel copy-paste.","General Feedback"
"Love the features, but app speed could be better.","General Feedback"
"The dark mode is nice, but some buttons are unreadable.","General Feedback"
